Weekly NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Axis Corporate Debt Fund - Direct Plan,16.4811,16.4557,0.15,5,5282.11
Bandhan Corporate Bond Fund - Direct Plan,18.1477,18.1145,0.18,1,13808.94
HDFC Corporate Bond Fund - Direct Plan,30.478,30.4325,0.15,5,28959.05
HSBC Corporate Bond Fund - Direct Plan,71.2215,71.0906,0.18,1,5965.27
ICICI Prudential Corporate Bond Fund - Direct Plan,28.6975,28.6472,0.18,1,27285.73
Invesco India Corporate Bond Fund - Direct Plan,3115.7961,3111.0986,0.15,5,3528.03
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,3602.3744,3597.5755,0.13,10,12541.1
SBI Corporate Bond Fund - Direct Plan,14.6102,14.5886,0.15,5,20025.72
UTI Corporate Bond Fund - Direct Plan,15.3439,15.3223,0.14,9,3856.33
NIFTY Corporate Bond Total Return Index,5800.04,5794.23,0.1,,
NIFTY Corporate Bond Index B-II,5780.14,5774.5,0.1,,
,,,,,
Short Duration,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Short Term Fund - Direct Plan,47.101,47.0236,0.16,4,7497.01
Axis Short Term Fund - Direct Plan,30.8035,30.7523,0.17,3,8006.89
Bandhan Bond Fund Short Term Plan - Direct Plan,56.0084,55.8936,0.21,1,8759.17
DSP Short Term Fund - Direct Plan,46.3694,46.2998,0.15,10,2972.58
HDFC Short Term Debt Fund - Direct Plan,30.2756,30.228,0.16,4,13055.75
HSBC Short Duration Fund - Direct Plan,25.6995,25.6504,0.19,2,3833.84
ICICI Prudential Short Term Fund - Direct Plan,60.0977,59.999,0.16,4,18252.31
Kotak Bond - Short Term Fund - Direct Plan,52.5163,52.4374,0.15,10,14949.4
Nippon India Short Term Fund - Direct Plan,52.365,52.2808,0.16,4,5511.4
SBI Short Term Debt Fund - Direct Plan,31.2526,31.2016,0.16,4,12785.19
Tata Short Term Bond Fund - Direct Plan,48.6391,48.5594,0.16,4,2210.08
UTI Short Duration Fund - Direct Plan,30.9651,30.941,0.08,12,2673.12
CRISIL Short-Term Bond Total Return Index,-,4670.78,-,,
NIFTY Short Duration Debt Index B-II,5440.14,5433.72,0.12,,
,,,,,
Dynamic Bond Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
360 ONE Dynamic Bond Fund - Direct Plan,21.6261,21.5976,0.13,5,734.01
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,45.2906,45.2269,0.14,3,1698.57
Axis Dynamic Bond Fund - Direct Plan,29.7615,29.7249,0.12,6,1702.66
Bandhan Dynamic Bond Fund - Direct Plan,35.1914,35.1738,0.05,12,2366.01
DSP Strategic Bond Fund - Direct Plan,3315.5191,3312.0958,0.1,9,1015.21
HDFC Dynamic Debt Fund - Direct Plan,90.9873,90.8828,0.11,7,679.4
ICICI Prudential All Seasons Bond Fund - Direct Plan,36.383,36.3336,0.14,3,12570.68
Kotak Dynamic Bond Fund - Direct Plan,37.4887,37.4465,0.11,7,2517.92
Mirae Asset Dynamic Bond Fund - Direct Plan,16.2561,16.2322,0.15,1,152.53
Nippon India Dynamic Bond Fund - Direct Plan,36.3906,36.3622,0.08,11,4606.22
SBI Dynamic Bond Fund - Direct Plan,35.8895,35.8374,0.15,1,3093.78
UTI Dynamic Bond Fund - Direct Plan,30.7381,30.7082,0.1,9,581.37
NIFTY Composite Debt Total Return Index,5499.99,5495.02,0.09,,
NIFTY Composite Debt Index B-III,5860.97,5858.12,0.05,,
,,,,,
Credit Risk Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,20.8438,20.8074,0.17,1,927.05
Axis Credit Risk Fund - Direct Plan,21.845,21.815,0.14,9,452.65
Bandhan Credit Risk Fund - Direct Plan,16.4016,16.376,0.16,3,346.14
Baroda BNP Paribas Credit Risk Fund Direct,22.2712,22.2425,0.13,11,149.05
DSP Credit Risk Fund - Direct Plan,43.7939,43.7228,0.16,3,194.02
HDFC Credit Risk Debt Fund - Direct Plan,23.7842,23.7503,0.14,9,7980.05
HSBC Credit Risk Fund - Direct Plan,28.6641,28.6187,0.16,3,576
ICICI Prudential Credit Risk Fund - Direct Plan,31.8655,31.8116,0.17,1,6912.5
Kotak Credit Risk Fund - Direct Plan,30.482,30.4354,0.15,6,822.11
Nippon India Credit Risk Fund - Direct Plan,34.9687,34.9163,0.15,6,1028.69
SBI Credit Risk Fund - Direct Plan,45.1275,45.0606,0.15,6,2463.93
UTI Credit Risk Fund - Direct Plan,17.6637,17.6482,0.09,12,389.99
NIFTY Credit Risk Bond Total Return Index,6914.83,6906.13,0.13,,
NIFTY Credit Risk Bond Index C-III,7352.84,7342.97,0.13,,
,,,,,
Medium to Long Duration,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Income Fund - Direct Plan,124.6089,124.4386,0.14,4,1848.85
Bandhan Bond Fund Income Plan - Direct Plan,65.9807,65.8796,0.15,2,491.25
HDFC Income Fund - Direct Plan,59.0611,58.9575,0.18,1,754.3
ICICI Prudential Bond Fund - Direct Plan,38.8424,38.7941,0.12,6,2957.93
Kotak Bond Fund - Direct Plan,79.12,79.0152,0.13,5,1903.4
Nippon India Income Fund - Direct Plan,92.1839,92.0454,0.15,2,324.28
UTI Medium to Long Duration Fund - Direct Plan,73.3445,73.2728,0.1,7,300.38
CRISIL Composite Bond Total Return Index,-,4587.27,-,,
CRISIL Medium to Long Duration Fund AIII Index,-,13538.62,-,,
,,,,,
Gilt Funds,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Government Securities Fund - Direct Plan,80.666,80.5876,0.1,11,1777.83
Axis Gilt Fund - Direct Plan,24.9692,24.942,0.11,6,353.85
Bandhan Government Securities Fund - Investment Plan - Direct Plan,35.4908,35.4705,0.06,13,2190.88
Baroda BNP Paribas Gilt Fund - Direct Plan,42.5973,42.5501,0.11,6,1626.13
DSP Gilt Fund - Direct Plan,94.2138,94.1517,0.07,12,1012.28
HDFC Gilt Fund - Direct Plan,53.5026,53.4393,0.12,3,2418.16
HSBC Gilt Fund - Direct Plan,69.9625,69.8823,0.11,6,199.45
ICICI Prudential Gilt Fund - Direct Plan,101.0769,100.9677,0.11,6,6289.29
Kotak Gilt Investment - Direct Plan,101.1357,101.0294,0.11,6,3422.09
Nippon India Gilt Securities Fund - Direct Plan,39.5566,39.5056,0.13,2,1864.74
SBI Magnum Gilt Fund - Direct Plan,64.4656,64.3915,0.12,3,8756.76
Tata Gilt Securities Fund - Direct Plan,79.9189,79.8092,0.14,1,727.56
UTI Gilt Fund - Direct Plan,59.9591,59.8885,0.12,3,621.38
NIFTY All Duration G-Sec Total Return Index,4928.32,4921.62,0.14,,
,,,,,
Money Manager,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Money Manager Fund - Direct Plan,347.5007,346.7855,0.21,1,23737.6
Axis Money Market Fund - Direct Plan,1337.8335,1335.1097,0.2,5,8369.16
Bandhan Money Manager Fund - Direct Plan,40.4479,40.3665,0.2,5,5068.9
DSP Savings Fund - Direct Plan,50.4318,50.3324,0.2,5,4605.33
HDFC Money Market Fund - Direct Plan,5403.6893,5392.8702,0.2,5,22479.76
ICICI Prudential Money Market Fund - Direct Plan,356.0562,355.333,0.2,5,22485.24
Invesco India Money Market Fund - Direct Plan,2924.8964,2918.8518,0.21,1,4008.03
Kotak Money Market Fund - Direct Plan,4203.0922,4194.5694,0.2,5,20244.6
Nippon India Money Market Fund - Direct Plan,3896.5015,3888.3992,0.21,1,16562.01
SBI Savings Fund - Direct Plan,41.2379,41.153,0.21,1,24347.58
Tata Money Market Fund - Direct Plan,4454.1698,4445.1037,0.2,5,18756.93
UTI Money Market Fund Institutional - Direct Plan,2893.035,2887.2146,0.2,5,14121.21
NIFTY Money Market Total Return Index,4803.24,4795.08,0.17,,
NIFTY Money Market Index B-I,4824.73,4816.64,0.17,,
,,,,,
Low Duration,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Low Duration Fund - Direct Plan,672.2429,670.9934,0.19,1,12133.88
Axis Treasury Advantage Fund - Direct Plan,2996.3979,2991.1578,0.18,5,5468.05
Bandhan Low Duration Fund - Direct Plan,36.6282,36.5616,0.18,5,5064.23
DSP Low Duration Fund - Direct Plan,18.9697,18.9346,0.19,1,4315.8
HDFC Low Duration Fund - Direct Plan,57.8459,57.7349,0.19,1,17516.3
ICICI Prudential Savings Fund - Direct Plan,509.5528,508.6369,0.18,5,19172.2
Kotak Low Duration Fund - Standard Plan - Direct Plan,3363.6388,3357.4918,0.18,5,9154.4
Nippon India Low Duration Fund - Direct Plan,3665.667,3658.9826,0.18,5,5789.66
SBI Magnum Low Duration Fund - Direct Plan,3362.3506,3356.3861,0.18,5,9681.07
Tata Treasury Advantage Fund - Direct Plan,3743.0818,3736.095,0.19,1,2319.17
UTI Low Duration Fund - Direct Plan,3334.3993,3328.4185,0.18,5,2455.66
CRISIL Low Duration Fund BI Index,-,7473.32,-,,
NIFTY Low Duration Debt Index,5179.34,5171.03,0.16,,
,,,,,
FoFs - Conservative Plans,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
ICICI Prudential Debt Management Fund (FOF),41.3237,41.2676,0.14,1,132.9
ICICI Prudential Income Optimizer Fund (FOF),-,57.4163,-,,267.6
NIFTY 50 Index,24286.5,23868.8,1.75,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
CRISIL Hybrid 65+35 Conservative Index,-,-,-,,
,,,,,
Dynamic Bond Funds (FOF),2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Direct Plan,36.3832,36.3312,0.14,3,22.61
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,45.2906,45.2269,0.14,3,1698.57
Axis All Seasons Debt FoF - Direct Plan,13.4193,13.4122,0.05,12,175.96
Bandhan All Seasons Bond Fund - Direct Plan,42.2803,42.2006,0.19,1,129.45
Bandhan Dynamic Bond Fund - Direct Plan,35.1914,35.1738,0.05,12,2366.01
DSP Strategic Bond Fund - Direct Plan,3315.5191,3312.0958,0.1,9,1015.21
HDFC Dynamic Debt Fund - Direct Plan,90.9873,90.8828,0.11,7,679.4
ICICI Prudential All Seasons Bond Fund - Direct Plan,36.383,36.3336,0.14,3,12570.68
ICICI Prudential Debt Management Fund (FOF) - Direct Plan,37.7863,37.7332,0.14,3,132.9
Kotak Dynamic Bond Fund - Direct Plan,37.4887,37.4465,0.11,7,2517.92
Nippon India Dynamic Bond Fund - Direct Plan,36.3906,36.3622,0.08,11,4606.22
SBI Dynamic Bond Fund - Direct Plan,35.8895,35.8374,0.15,2,3093.78
UTI Dynamic Bond Fund - Direct Plan,30.7381,30.7082,0.1,9,581.37
NIFTY Composite Debt Total Return Index,5499.99,5495.02,0.09,,
CRISIL Composite Bond Total Return Index,-,4587.27,-,,
,,,,,
Banking & PSU,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,349.3755,348.7326,0.18,5,10110.55
Axis Banking & PSU Debt Fund - Direct Plan,2497.111,2493.4764,0.15,10,13660.32
Bandhan Banking & PSU Debt Fund - Direct Plan,23.3254,23.2807,0.19,2,14279.57
DSP Banking & PSU Debt Fund - Direct Plan,22.9077,22.8632,0.19,2,2505.18
HDFC Banking and PSU Debt Fund - Direct Plan,21.9818,21.945,0.17,8,6297.89
HSBC Banking and PSU Debt Fund - Direct Plan,23.5186,23.4749,0.19,2,4731.55
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,31.3761,31.3205,0.18,5,9403.8
Kotak Banking and PSU Debt Fund - Direct Plan,62.4738,62.3931,0.13,11,5967.83
LIC MF Banking & PSU Fund - Direct Plan,34.3758,34.3154,0.18,5,1410.12
Nippon India Banking & PSU Debt Fund - Direct Plan,19.756,19.7235,0.16,9,5628.09
SBI Banking and PSU Fund - Direct Plan,3037.977,3031.9392,0.2,1,4199.91
NIFTY Financial Services Index,23923.75,23592.7,1.4,,
NIFTY Financial Services Total Return Index,29965.53,29546.07,1.42,,
NIFTY Bank,53089.25,52870.5,0.41,,
NIFTY Bank Total Return Index,73270.32,72923.02,0.48,,
NIFTY Banking and PSU Debt Total Return Index,5306.69,5300.91,0.11,,
,,,,,
Medium Duration,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Medium Term Plan - Direct Plan,37.9156,37.8521,0.17,2,1859.15
Axis Strategic Bond Fund - Direct Plan,28.0222,27.9852,0.13,8,1931.97
Bandhan Bond Fund Medium Term Plan - Direct Plan,45.6015,45.5224,0.17,2,1557.45
DSP Bond Fund - Direct Plan,79.3651,79.2189,0.18,1,356.2
HDFC Medium Term Debt Fund - Direct Plan,55.8641,55.7797,0.15,7,4173.35
HSBC Medium Duration Fund - Direct Plan,20.3367,20.3049,0.16,4,809.4
ICICI Prudential Medium Term Bond Fund - Direct Plan,44.8291,44.7583,0.16,4,6214.24
Kotak Medium Term Fund - Direct Plan,22.9045,22.8681,0.16,4,1744.99
SBI Magnum Medium Duration Fund - Direct Plan,50.6255,50.5587,0.13,8,6102.24
CRISIL Medium Term Debt Total Return Index,-,4556.65,-,,
CRISIL Medium Duration Fund CIII Index,-,5551.98,-,,
,,,,,
Ultra Short Duration,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Savings Fund - Direct Plan,516.3394,515.3422,0.19,1,13579.62
Axis Ultra Short Term Fund - Direct Plan,14.4844,14.4577,0.18,4,5152.32
Bandhan Ultra Short Term Fund - Direct Plan,14.319,14.294,0.17,8,3889.69
DSP Ultra Short Fund - Direct Plan,3431.8403,3425.3621,0.19,1,2684.08
HDFC Ultra Short Term Fund - Direct Plan,14.3672,14.3412,0.18,4,14314.83
Kotak Savings Fund - Direct Plan,41.7066,41.6302,0.18,4,12840.69
SBI Magnum Ultra Short Duration Fund - Direct Plan,5649.337,5639.1471,0.18,4,10548.21
UTI Ultra Short Duration Fund - Direct,4218.7476,4210.9356,0.19,1,2514.62
CRISIL Ultra Short Term Debt Total Return Index,-,7634.48,-,,
NIFTY Ultra Short Duration Debt Index B-I,5255.94,5247.72,0.16,,
,,,,,
Nifty ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty 50 ETF,27.782,27.3027,1.76,1,2291.29
Axis Nifty 50 ETF,262.4788,257.9407,1.76,1,702
Bandhan Nifty 50 ETF,262.2544,257.728,1.76,1,24.12
DSP Nifty 50 ETF,249.7913,245.4773,1.76,1,314.48
HDFC Nifty 50 ETF,267.2221,262.607,1.76,1,3352.31
ICICI Prudential Nifty 50 ETF,268.6215,263.9829,1.76,1,15870.66
Invesco India Nifty 50 ETF,2722.2119,2675.2451,1.76,1,87.92
Kotak Nifty 50 ETF,263.0121,258.4673,1.76,1,2278.8
LIC MF Nifty 50 ETF,266.193,261.5966,1.76,1,768.92
Mirae Asset Nifty 50 ETF,257.9087,253.4551,1.76,1,2388.15
Motilal Oswal Nifty 50 ETF Fund,248.2436,243.9625,1.75,16,39.66
Nippon India ETF Nifty 50 BeES,270.061,265.398,1.76,1,27031.1
Quantum Nifty 50 ETF,2612.8119,2567.6051,1.76,1,52.55
SBI Nifty 50 ETF,255.2924,250.8849,1.76,1,180683.09
Tata Nifty 50 Exchange Traded Fund,258.3221,253.8544,1.76,1,629.73
UTI Nifty 50 ETF,262.7995,258.2622,1.76,1,52120.16
NIFTY 50 Index,24286.5,23868.8,1.75,,
NIFTY 50 Total Return,35947.53,35324.11,1.76,,
,,,,,
Sensex ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life BSE Sensex ETF,78.7901,77.4911,1.68,1,473.71
Axis BSE Sensex ETF,81.1035,79.767,1.68,1,117.83
Bandhan S&P BSE Sensex ETF,856.0887,842.0426,1.67,9,1.11
HDFC BSE Sensex ETF,88.6707,87.2072,1.68,1,508.89
ICICI Prudential BSE Sensex ETF,898.2777,883.4439,1.68,1,8983.42
Kotak BSE Sensex ETF,85.9809,84.5642,1.68,1,26.35
LIC MF BSE Sensex ETF,884.0999,869.542,1.67,9,762.12
Nippon India ETF BSE Sensex,898.5059,883.6748,1.68,1,8078.72
SBI BSE Sensex ETF,871.2449,856.8662,1.68,1,110153.33
UTI BSE Sensex ETF,865.8332,851.5444,1.68,1,40012.19
S&P BSE Sensex Index,79986.8,78674.25,1.67,,
S&P BSE Sensex Total Return Index,123464.61,121417.77,1.69,,
,,,,,
Nifty Next 50 ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty Next 50 ETF,75.0882,73.6778,1.91,6,72.72
HDFC NIFTY NEXT 50 ETF,73.127,71.7526,1.92,1,32.6
ICICI Prudential Nifty Next 50 ETF,75.309,73.8923,1.92,1,637.35
Mirae Asset Nifty Next 50 ETF,736.1196,722.2816,1.92,1,213.31
Nippon India ETF Nifty Next 50 Junior BeES,771.9912,757.4888,1.91,6,4558.49
SBI Nifty Next 50 ETF,764.5606,750.1941,1.92,1,2655.92
UTI Nifty Next 50 Exchange Traded Fund,76.9248,75.478,1.92,1,2164.79
NIFTY Next 50 Index,72584.95,71235.8,1.89,,
NIFTY Next 50 Total Return Index,102996.73,101052.19,1.92,,
,,,,,
Overnight Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Overnight Fund - Direct Plan,1317.0043,1315.3527,0.13,1,9220.97
HDFC Overnight Fund - Direct Plan,3613.0192,3608.4248,0.13,1,11144.03
ICICI Prudential Overnight Fund - Direct Plan,1312.3225,1310.6797,0.13,1,10166.12
Kotak Overnight Fund - Direct Plan,1298.905,1297.2708,0.13,1,5473.56
Nippon India Overnight Fund - Direct Plan,130.7577,130.5925,0.13,1,7082.62
SBI Overnight Fund - Direct Plan,3961.554,3956.5818,0.13,1,15032.54
UTI Overnight Fund - Direct Plan,3333.0521,3328.8334,0.13,1,6064.84
CRISIL Overnight Index,-,-,-,,
CRISIL Overnight Fund AI Index,-,3290.76,-,,
,,,,,
10 Year Corporate Bond,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Income Fund - Direct Plan,124.6089,124.4386,0.14,1,1848.85
Axis Dynamic Bond Fund - Direct Plan,29.7615,29.7249,0.12,2,1702.66
,,,,,
Floater,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,329.9395,329.3296,0.19,1,12802.24
Axis Treasury Advantage Fund - Direct Plan,2996.3979,2991.1578,0.18,5,5468.05
Bandhan Low Duration Fund - Direct Plan,36.6282,36.5616,0.18,5,5064.23
DSP Low Duration Fund - Direct Plan,18.9697,18.9346,0.19,1,4315.8
HDFC Low Duration Fund - Direct Plan,57.8459,57.7349,0.19,1,17516.3
ICICI Prudential Savings Fund - Direct Plan,509.5528,508.6369,0.18,5,19172.2
Invesco India Low Duration Fund - Direct Plan,3649.4541,3643.4273,0.17,13,1261.74
Kotak Low Duration Fund - Standard Plan - Direct Plan,3363.6388,3357.4918,0.18,5,9154.4
Nippon India Low Duration Fund - Direct Plan,3665.667,3658.9826,0.18,5,5789.66
SBI Floating Rate Debt Fund - Direct Plan,12.3882,12.3655,0.18,5,1146.59
SBI Magnum Low Duration Fund - Direct Plan,3362.3506,3356.3861,0.18,5,9681.07
Tata Treasury Advantage Fund - Direct Plan,3743.0818,3736.095,0.19,1,2319.17
UTI Low Duration Fund - Direct Plan,3334.3993,3328.4185,0.18,5,2455.66
CRISIL Liquid Fund Total Return Index,-,4095.36,-,,
CRISIL Low Duration Debt Index,-,7558.26,-,,
,,,,,
Aggressive Hybrid Fund FoF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,1467.07,1449.36,1.22,17,7515.79
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,50.7867,50.0562,1.46,6,203.07
Axis Equity Hybrid Fund - Regular Plan,19.41,19.15,1.36,9,1575.04
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,43.38,42.8209,1.31,12,17.92
Bandhan Hybrid Equity Fund - Regular Plan,23.353,22.901,1.97,1,692.34
Baroda BNP Paribas Aggressive Hybrid Fund - Regular Plan,27.1592,26.8166,1.28,14,1038.09
Canara Robeco Equity Hybrid Fund - Regular Plan,341.36,335.64,1.7,5,10152.64
DSP Equity & Bond Fund,331.604,325.832,1.77,4,9131.81
Franklin India Equity Hybrid Fund,257.4718,255.6175,0.73,22,1806.96
HDFC Hybrid Equity Fund,113.543,112.682,0.76,21,23138.21
HSBC Aggressive Hybrid Fund,54.3547,53.3965,1.79,3,5441.86
HSBC Managed Solutions India - Growth - Regular Plan,38.906,38.4067,1.3,13,41.82
ICICI Prudential Equity & Debt Fund,360.61,357.8,0.79,20,35122.02
Kotak Equity Hybrid Fund - Regular Plan,59.465,58.389,1.84,2,5621.16
LIC MF Aggressive Hybrid Fund,190.047,187.8714,1.16,18,518.38
Mirae Asset Aggressive Hybrid Fund - Regular Plan,30.47,30.097,1.24,16,8563.76
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,16.1042,15.8924,1.33,10,65.57
Nippon India Equity Hybrid Fund,99.4845,98.4729,1.03,19,3535.42
SBI Equity Hybrid Fund,275.4882,271.5709,1.44,7,68372.47
Sundaram Aggressive Hybrid Fund,154.5902,152.683,1.25,15,4643.67
Tata Hybrid Equity Fund - Regular Plan,428.6015,422.5809,1.42,8,3740.61
UTI Aggressive Hybrid Fund - Regular Plan,384.5664,379.5474,1.32,11,5511.93
CRISIL Hybrid 35+65 Aggressive Index,-,19522.08,-,,
,,,,,
Financial Planning Funds - Conservative,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,31.7618,31.5082,0.8,1,18.27
CRISIL Hybrid 65+35 Conservative Index,-,-,-,,
CRISIL Short Term Debt Hybrid 75+25 Index,-,8540.54,-,,
,,,,,
Financial Planning Funds - Moderate,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,39.5529,39.1017,1.15,1,34.53
HSBC Managed Solutions India - Moderate - Regular Plan,33.7652,33.4034,1.08,2,56.53
CRISIL Hybrid 50+50 Moderate Index,-,14517.67,-,,
,,,,,
Gold ETF,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Gold ETF,64.36,63.5786,1.23,2,803.88
Axis Gold ETF,61.0969,60.4743,1.03,11,914.66
DSP Gold ETF,71.303,70.4424,1.22,7,392.31
HDFC Gold Exchange Traded Fund,62.7165,62.2164,0.8,13,4967.96
ICICI Prudential Gold Exchange Traded Fund,62.666,61.9025,1.23,2,4905.38
Invesco India Gold ETF,6368.6724,6303.2793,1.04,8,115.21
Kotak Gold ETF,61.2062,60.4555,1.24,1,4116.78
LIC MF Gold ETF,6596.964,6529.0573,1.04,8,129.93
Mirae Asset Gold ETF,71.3397,70.4762,1.23,2,245.13
Nippon India ETF Gold BeES,60.8835,60.1422,1.23,2,11032.09
Quantum Gold Fund,60.5312,59.9443,0.98,12,207.18
SBI Gold ETF,62.6577,61.8954,1.23,2,4707.32
UTI Gold Exchange Traded Fund,61.4099,60.7787,1.04,8,1036.21
Domestic Price of Gold,-,7107.7,-,,
,,,,,
Nifty Fund,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,243.7141,239.5269,1.75,1,841.35
Axis Nifty 50 Index Fund - Regular Plan,14.3354,14.089,1.75,1,449.68
Bandhan Nifty 50 Index Fund - Regular Plan,51.9826,51.091,1.75,1,1265.7
DSP Nifty 50 Index Fund - Regular Plan,23.2202,22.8212,1.75,1,527.58
Edelweiss Nifty 50 Index Fund,13.7045,13.4717,1.73,17,61.24
Franklin India NSE Nifty 50 Index,194.2569,190.9263,1.74,15,657.69
HDFC Index Fund Nifty 50 Plan,228.191,224.263,1.75,1,14219.56
HSBC Nifty 50 Index Fund - Regular Plan,27.7643,27.2872,1.75,1,249.71
ICICI Prudential Nifty 50 Index Fund,242.0953,237.9312,1.75,1,8941.14
Kotak Nifty 50 Index Fund - Regular Plan,15.658,15.389,1.75,1,663.74
LIC MF Nifty 50 Index Plan,133.9499,131.6582,1.74,15,295.41
Motilal Oswal Nifty 50 Index Fund - Regular Plan,20.3484,19.9991,1.75,1,478.24
Navi Nifty 50 Index Fund - Regular Plan,15.5862,15.3181,1.75,1,1921.4
Nippon India Index Fund - Nifty 50 Plan,40.8534,40.1523,1.75,1,1648.68
SBI Nifty Index Fund,212.8289,209.1615,1.75,1,7431.36
Tata Nifty 50 Index Fund - Regular Plan,149.971,147.3942,1.75,1,717.24
Taurus Nifty 50 Index Fund - Regular Plan,46.0996,45.3282,1.7,18,3.59
UTI Nifty 50 Index Fund - Regular Plan,165.1442,162.3044,1.75,1,16924.52
NIFTY 50 Index,24286.5,23868.8,1.75,,
NIFTY 50 Total Return Index,35947.53,35324.11,1.76,,
,,,,,
Bal Bhavishya,2024-07-03 00:00:00,2024-06-26 00:00:00,%Chg,Rank,Assets (Rs Cr)
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,19.57,19.32,1.29,16,994.54
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,1682.27,1662.79,1.17,18,20473.4
Axis Flexi Cap Fund - Regular Plan,25.57,25.2,1.47,13,12011.72
Bandhan Flexi Cap Fund - Regular Plan,201.531,198.154,1.7,8,6979.84
